,bathrooms,building_subtype,building_type,conservation_state,discount,floor_elevator,is_new_construction,latitude,link,longitude,price,realestate,rooms,sqft_m2,neighbourhood,neighb_meanprice
7170,2,Flat,Flat,1.0,166,True,False,41.38001,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-zona-comunitaria-ascensor-amueblado/157818381/d,2.14664,1200.0,VIVENIO RESIDENCIAL,2,71,la nova esquerra de l'eixample,14.521146251476095
7171,1,Flat,Flat,1.0,0,True,False,41.38705,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/157688050/d,2.112113,1200.0,"GESFINCA, S.L.",2,85,pedralbes,15.686281801097591
7172,2,Apartment,Flat,1.0,0,True,False,41.41223,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/158141264/d,2.195398,1200.0,PARSELL INMOBILIARIA,4,104,sant martí de provençals,11.90384332682758
7173,1,Flat,Flat,1.0,0,True,False,41.3873,/es/alquiler/vivienda/barcelona-capital/calefaccion-trastero-ascensor-amueblado/157800363/d,2.177584,1200.0,ENGEL & VOELKERS,2,80,"sant pere, santa caterina i la ribera",15.157329044420129
7174,1,Flat,Flat,1.0,200,True,False,41.38737,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking/157564843/d,2.132364,1200.0,FUJI INMOBILIARIA,2,71,les corts,15.052336801010366
7175,2,Flat,Flat,1.0,0,False,False,41.37332,/es/alquiler/vivienda/barcelona-capital/no-amueblado/158133630/d,2.160114,1200.0,ENGEL & VOELKERS,3,74,el poble sec - aei parc montjuïc,14.359229885638655
7176,1,Flat,Flat,1.0,50,False,False,41.39718,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion/158126596/d,2.205657,1200.0,FAMILY NEST,2,70,el poblenou,15.083231195188253
7177,2,Flat,Flat,1.0,0,True,False,41.40582,/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-ascensor-se-aceptan-mascotas-no-amueblado/157978691/d,2.177166,1200.0,ENGEL & VOELKERS,4,100,la sagrada família,14.476486837923611
7178,1,Flat,Flat,1.0,400,True,False,41.3784,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157393243/d,2.146661,1200.0,ENGEL & VOELKERS,3,60,la nova esquerra de l'eixample,14.521146251476095
7179,1,Flat,Flat,1.0,0,True,False,41.37942,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/158119560/d,2.160205,1200.0,DOMINGUEZ,3,82,sant antoni,13.848563622132444
7180,1,Apartment,Flat,1.0,0,True,False,41.39086,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157346011/d,2.174663,1200.0,ENGEL & VOELKERS,1,59,la dreta de l'eixample,14.399608832391861
7181,1,Flat,Flat,1.0,0,False,False,41.40427,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-television/158113953/d,2.167613,1200.0,HABITA BARCELONA,2,60,el camp d'en grassot i gràcia nova,14.732872616891491
7182,2,Duplex,Flat,1.0,100,False,False,41.40557,/es/alquiler/vivienda/barcelona-capital/patio/157598068/d,2.157628,1200.0,FINCAS TEIXIDOR,3,75,la vila de gràcia,15.09676059493889
7183,1,Flat,Flat,1.0,100,True,False,41.3927,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157346040/d,2.141914,1200.0,ENGEL & VOELKERS,1,60,les corts,15.052336801010366
7184,1,Flat,Flat,1.0,0,True,False,41.37827,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/158053543/d,2.115453,1200.0,FINQUES BALAGUER,3,61,la maternitat i sant ramon,14.449559376751349
7185,4,Flat,Flat,1.0,0,True,False,41.40901,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/158108946/d,2.172685,1200.0,GAUDI HOUSE FINCAS,4,98,la sagrada família,14.476486837923611
